| id | neighbourhood | neighbourhood_group | latitude | longitude | price |
| 320279 | Brunnenstr. Süd | Mitte | 52.53164 | 13.40554 | 144 |
| 321295 | Friedenau | Tempelhof - Schöneberg | 52.46353 | 13.34404 | 50 |
| 321308 | Friedenau | Tempelhof - Schöneberg | 52.46411 | 13.34383 | 60 |
| 321378 | Brunnenstr. Süd | Mitte | 52.53392 | 13.40503 | 161 |
| 322463 | Prenzlauer Berg Nord | Pankow | 52.54094 | 13.43602 | 140 |
| 322520 | Prenzlauer Berg Nord | Pankow | 52.5429 | 13.43628 | 146 |
| 323259 | Neuköllner Mitte/Zentrum | Neukölln | 52.48348 | 13.42909 | 62 |
| 335273 | Prenzlauer Berg Südwest | Pankow | 52.5376 | 13.41004 | 60 |
| 341910 | Südliche Friedrichstadt | Friedrichshain-Kreuzberg | 52.49885 | 13.40021 | 85 |
| 344856 | Frankfurter Allee Süd FK | Friedrichshain-Kreuzberg | 52.5135 | 13.45802 | 84 |
| 344986 | Prenzlauer Berg Südwest | Pankow | 52.53754 | 13.41968 | 91 |
| 345373 | Otto-Suhr-Allee | Charlottenburg-Wilm. | 52.51837 | 13.31841 | 62 |
| 352998 | Neue Kantstraße | Charlottenburg-Wilm. | 52.50623 | 13.30163 | 30 |
| 355227 | Moabit Ost | Mitte | 52.52332 | 13.35737 | 56 |
| 355494 | Blankenburg/Heinersdorf/Märchenland | Pankow | 52.57917 | 13.44359 | 59 |
| 362701 | nördliche Luisenstadt | Friedrichshain-Kreuzberg | 52.5028 | 13.4374 | 116 |
| 363454 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.49356460571289 | 13.412236213684082 | 120 |
| 402826 | Regierungsviertel | Mitte | 52.51133 | 13.3951 | 172 |
| 408756 | Prenzlauer Berg Südwest | Pankow | 52.53916 | 13.41008 | 100 |
| 415218 | Brunnenstr. Nord | Mitte | 52.54167 | 13.37285 | 49 |
| 421236 | Zehlendorf  Südwest | Steglitz - Zehlendorf | 52.43663 | 13.21023 | 85 |
| 425411 | Brunnenstr. Süd | Mitte | 52.52971 | 13.38907 | 105 |
| 425487 | Brunnenstr. Süd | Mitte | 52.52961 | 13.38904 | 115 |
| 446975 | Helmholtzplatz | Pankow | 52.54116 | 13.41449 | 65 |
| 456902 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.49257 | 13.41091 | 95 |
| 488161 | Schillerpromenade | Neukölln | 52.47919 | 13.42538 | 101 |
| 493539 | Alexanderplatz | Mitte | 52.5151 | 13.41369 | 125 |
| 499342 | Brunnenstr. Süd | Mitte | 52.53609819909791 | 13.37822039816644 | 65 |
| 499353 | Brunnenstr. Süd | Mitte | 52.53608 | 13.37843 | 65 |
| 502598 | Brunnenstr. Süd | Mitte | 52.53325 | 13.40217 | 86 |
| 504259 | Helmholtzplatz | Pankow | 52.54407 | 13.42201 | 373 |
| 511935 | Schöneberg-Süd | Tempelhof - Schöneberg | 52.48916 | 13.35058 | 259 |
| 512476 | Tempelhof | Tempelhof - Schöneberg | 52.4568 | 13.38698 | 84 |
| 523052 | Rahnsdorf/Hessenwinkel | Treptow - Köpenick | 52.43286 | 13.70843 | 211 |
| 533523 | Schöneberg-Süd | Tempelhof - Schöneberg | 52.48207 | 13.36099 | 89 |
| 533864 | Alexanderplatz | Mitte | 52.50561957139374 | 13.42042823702963 | 136 |
| 541569 | Prenzlauer Berg Nordwest | Pankow | 52.5475 | 13.40002 | 87 |
| 542674 | Schöneberg-Nord | Tempelhof - Schöneberg | 52.49081 | 13.34785 | 51 |
| 578821 | Schöneberg-Nord | Tempelhof - Schöneberg | 52.49751663208008 | 13.349440574645996 | 31 |
| 580667 | Tempelhof | Tempelhof - Schöneberg | 52.45767 | 13.37887 | 77 |
| 583916 | Rudow | Neukölln | 52.41305 | 13.47963 | 60 |
| 589169 | Prenzlauer Berg Süd | Pankow | 52.53229904174805 | 13.426223754882812 | 198 |
| 589285 | Rixdorf | Neukölln | 52.48623 | 13.44967 | 37 |
| 590200 | Rudow | Neukölln | 52.41335 | 13.47975 | 65 |
| 594032 | Halensee | Charlottenburg-Wilm. | 52.49739 | 13.30231 | 112 |
| 597413 | Ost 2 | Reinickendorf | 52.57379 | 13.35485 | 29 |
| 598982 | südliche Luisenstadt | Friedrichshain-Kreuzberg | 52.49615 | 13.43335 | 135 |
| 606926 | Frankfurter Allee Nord | Friedrichshain-Kreuzberg | 52.52302 | 13.45452 | 124 |
| 620013 | Neue Kantstraße | Charlottenburg-Wilm. | 52.50081 | 13.30127 | 77 |
| 633372 | südliche Luisenstadt | Friedrichshain-Kreuzberg | 52.49765119267812 | 13.428157359714586 | 49 |
| 642955 | Alexanderplatz | Mitte | 52.52819 | 13.39641 | 101 |
| 667849 | Schöneberg-Süd | Tempelhof - Schöneberg | 52.48512 | 13.3558 | 51 |
| 671958 | Volkspark Wilmersdorf | Charlottenburg-Wilm. | 52.48955 | 13.32265 | 83 |
| 680999 | südliche Luisenstadt | Friedrichshain-Kreuzberg | 52.49318 | 13.43811 | 70 |
| 681132 | Moabit Ost | Mitte | 52.53088 | 13.35107 | 57 |
| 685944 | Tiergarten Süd | Mitte | 52.50244 | 13.36344 | 160 |
| 687582 | Südliche Friedrichstadt | Friedrichshain-Kreuzberg | 52.49798 | 13.39973 | 96 |
| 691469 | südliche Luisenstadt | Friedrichshain-Kreuzberg | 52.49485 | 13.43586 | 281 |
| 693357 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.48749 | 13.41877 | 45 |
| 694871 | Karl-Marx-Allee-Süd | Friedrichshain-Kreuzberg | 52.51442 | 13.45243 | 360 |
| 696372 | Alt-Hohenschönhausen Nord | Lichtenberg | 52.5618 | 13.49399 | 50 |
| 698727 | Albrechtstr. | Steglitz - Zehlendorf | 52.45308 | 13.35351 | 217 |
| 700806 | Schöneberg-Nord | Tempelhof - Schöneberg | 52.49211 | 13.36937 | 63 |
| 701909 | Karl-Marx-Allee-Süd | Friedrichshain-Kreuzberg | 52.51279 | 13.44946 | 167 |
| 703900 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.48981 | 13.4216 | 65 |
| 706237 | Prenzlauer Berg Nordwest | Pankow | 52.55474 | 13.41318 | 140 |
| 714312 | Gropiusstadt | Neukölln | 52.43166 | 13.4549 | 40 |
| 731285 | Prenzlauer Berg Südwest | Pankow | 52.53533 | 13.41739 | 51 |
| 742211 | Schöneberg-Nord | Tempelhof - Schöneberg | 52.49686 | 13.33922 | 225 |
| 744264 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.49068 | 13.40485 | 112 |
| 749508 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.49299 | 13.39633 | 65 |
| 753152 | Prenzlauer Berg Nordwest | Pankow | 52.54653 | 13.40217 | 150 |
| 768616 | Helmholtzplatz | Pankow | 52.544010162353516 | 13.424574851989746 | 137 |
| 769334 | Ost 1 | Reinickendorf | 52.57515 | 13.36888 | 62 |
| 772627 | Rixdorf | Neukölln | 52.4763 | 13.4415 | 97 |
| 773066 | südliche Luisenstadt | Friedrichshain-Kreuzberg | 52.49487 | 13.42879 | 67 |
| 776069 | Moabit Ost | Mitte | 52.53466 | 13.35154 | 141 |
| 777993 | Britz | Neukölln | 52.44637 | 13.44797 | 200 |
| 782924 | nördliche Luisenstadt | Friedrichshain-Kreuzberg | 52.50439 | 13.42558 | 75 |
| 782997 | nördliche Luisenstadt | Friedrichshain-Kreuzberg | 52.50253 | 13.4258 | 75 |
| 789018 | Helmholtzplatz | Pankow | 52.54389 | 13.42163 | 117 |
| 795924 | Helmholtzplatz | Pankow | 52.54266 | 13.41643 | 67 |
| 817454 | Helmholtzplatz | Pankow | 52.54498 | 13.4156 | 128 |
| 817473 | südliche Luisenstadt | Friedrichshain-Kreuzberg | 52.49823 | 13.43371 | 165 |
| 819740 | Rixdorf | Neukölln | 52.47714 | 13.45189 | 129 |
| 829241 | Prenzlauer Berg Süd | Pankow | 52.53326 | 13.43433 | 109 |
| 836938 | Brunnenstr. Süd | Mitte | 52.53631 | 13.40655 | 95 |
| 851630 | Frankfurter Allee Süd FK | Friedrichshain-Kreuzberg | 52.51455 | 13.45987 | 96 |
| 851688 | Frankfurter Allee Süd FK | Friedrichshain-Kreuzberg | 52.51481 | 13.45843 | 96 |
| 856117 | Oberschöneweide | Treptow - Köpenick | 52.46483 | 13.51275 | 33 |
| 856845 | südliche Luisenstadt | Friedrichshain-Kreuzberg | 52.49705 | 13.43411 | 100 |
| 860671 | Frankfurter Allee Süd FK | Friedrichshain-Kreuzberg | 52.51474 | 13.46143 | 96 |
| 861698 | Prenzlauer Berg Nordwest | Pankow | 52.55218 | 13.40415 | 136 |
| 863534 | Regierungsviertel | Mitte | 52.50954 | 13.40504 | 117 |
| 865222 | Alt-Hohenschönhausen Nord | Lichtenberg | 52.56078 | 13.49243 | 44 |
| 866332 | Blankenfelde/Niederschönhausen | Pankow | 52.58814 | 13.39598 | 39 |
| 869793 | nördliche Luisenstadt | Friedrichshain-Kreuzberg | 52.50113 | 13.43176 | 100 |
| 871854 | Moabit Ost | Mitte | 52.52011 | 13.35889 | 28 |
| 878074 | Prenzlauer Berg Süd | Pankow | 52.53321 | 13.42556 | 184 |
| 880130 | Schöneberg-Süd | Tempelhof - Schöneberg | 52.48851 | 13.34912 | 80 |
| 880250 | Heerstrasse | Charlottenburg-Wilm. | 52.50865 | 13.24357 | 32 |
| 889901 | Westend | Charlottenburg-Wilm. | 52.51576 | 13.26434 | 47 |
| 901837 | Prenzlauer Berg Ost | Pankow | 52.53741 | 13.45873 | 307 |
| 913379 | Wiesbadener Straße | Charlottenburg-Wilm. | 52.47022 | 13.31133 | 693 |
| 919931 | Prenzlauer Berg Süd | Pankow | 52.53558 | 13.42542 | 123 |
| 922815 | Wiesbadener Straße | Charlottenburg-Wilm. | 52.47084644080307 | 13.30977998859106 | 171 |
| 926670 | Wedding Zentrum | Mitte | 52.54013 | 13.35249 | 112 |
| 929443 | Brunnenstr. Süd | Mitte | 52.52853 | 13.38713 | 195 |
| 937705 | Lichtenrade | Tempelhof - Schöneberg | 52.39198 | 13.40816 | 59 |
| 945373 | Frankfurter Allee Nord | Friedrichshain-Kreuzberg | 52.51637 | 13.47122 | 60 |
| 962143 | Altglienicke | Treptow - Köpenick | 52.40838 | 13.53149 | 62 |
| 965074 | Altglienicke | Treptow - Köpenick | 52.40868 | 13.53306 | 63 |
| 969200 | Prenzlauer Berg Nord | Pankow | 52.54213 | 13.43838 | 139 |
| 978892 | Nord 1 | Reinickendorf | 52.63905 | 13.2752 | 60 |
| 979758 | Prenzlauer Berg Nord | Pankow | 52.54689 | 13.42632 | 68 |
| 989871 | Otto-Suhr-Allee | Charlottenburg-Wilm. | 52.51248 | 13.31687 | 55 |
| 993985 | Schöneberg-Süd | Tempelhof - Schöneberg | 52.48648 | 13.35029 | 55 |
| 997825 | Prenzlauer Berg Südwest | Pankow | 52.53994 | 13.40936 | 102 |
| 1005341 | Prenzlauer Berg Südwest | Pankow | 52.53615 | 13.42204 | 41 |
| 1009209 | Reuterstraße | Neukölln | 52.49158 | 13.42327 | 58 |
| 1017368 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.49457 | 13.39525 | 62 |
| 1030060 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.48754 | 13.42052 | 45 |
| 1032446 | Adlershof | Treptow - Köpenick | 52.4338 | 13.55078 | 47 |
| 1033506 | Tiergarten Süd | Mitte | 52.50386 | 13.37007 | 82 |
| 1052235 | Mahlsdorf | Marzahn - Hellersdorf | 52.52537 | 13.63342 | 49 |
| 1052941 | Friedrichshagen | Treptow - Köpenick | 52.44656 | 13.61662 | 57 |
| 1062210 | Prenzlauer Berg Nordwest | Pankow | 52.5475 | 13.40584 | 58 |
| 1067886 | nördliche Luisenstadt | Friedrichshain-Kreuzberg | 52.50017 | 13.423 | 99 |
| 1068023 | südliche Luisenstadt | Friedrichshain-Kreuzberg | 52.49256 | 13.43667 | 69 |
| 1069492 | Alexanderplatz | Mitte | 52.52746 | 13.40781 | 403 |
| 1084183 | Schöneberg-Nord | Tempelhof - Schöneberg | 52.50059 | 13.34231 | 65 |
| 1084512 | Wedding Zentrum | Mitte | 52.53979 | 13.35207 | 112 |
| 1111145 | Brunnenstr. Süd | Mitte | 52.5313 | 13.39461 | 208 |
| 1120028 | Schillerpromenade | Neukölln | 52.47974395751953 | 13.422286987304688 | 77 |
| 1120297 | Brunnenstr. Süd | Mitte | 52.53413 | 13.39945 | 93 |
| 1125176 | Barstraße | Charlottenburg-Wilm. | 52.48021 | 13.31437 | 108 |
| 1128861 | Alexanderplatz | Mitte | 52.52436447143555 | 13.407642364501953 | 80 |
| 1130337 | Ost 1 | Reinickendorf | 52.56169 | 13.37297 | 65 |
| 1146439 | Südliche Friedrichstadt | Friedrichshain-Kreuzberg | 52.50376 | 13.41032 | 65 |
| 1153584 | Blankenfelde/Niederschönhausen | Pankow | 52.58711 | 13.40013 | 60 |
| 1158424 | Wedding Zentrum | Mitte | 52.55423 | 13.36646 | 82 |
