id	descriptive_name	neighbourhood	price	days	total_price
685224054858608898	Berlin Chausseestr | Suite with Sofa Bed	Alexanderplatz	158	3	474
37737152	Airy Berlin Loft with 90's vintage furniture	Alexanderplatz	157	3	471
1345617742189913012	Numa | Large, accessible Room in Berlin Mitte	Alexanderplatz	157	3	471
1345611651216239245	Numa | Large Room in Berlin Mitte	Alexanderplatz	156	3	468
1447744576132998818	Loft-style Apartment Mitte	Brunnenstr. Süd	156	3	468
17134678	Tolles-City-Apartment 7 am Checkpoint Charlie	Regierungsviertel	156	3	468
1211494413366492901	Numa | Large Room w/ Extra Bed near Alexanderplatz	Alexanderplatz	155	3	465
693935596472501414	Berlin Muellerstr. | Suite L with sofa bed	Brunnenstr. Nord	155	3	465
12047079	Downtown Apartments Torstr I, 1BR up to 4ppl	Brunnenstr. Süd	155	3	465
852627194384388045	Moabit-zentrale und helle 3-Zimmer-Wohnung	Moabit West	155	3	465
1377080971947056806	Idyllisches Apartment am Wasser - Ruhig & Zentral	Moabit West	153	3	459
7526348	LUX! New Modern Central Quiet Flat in Berlin Mitte	Brunnenstr. Süd	152	3	456
11450419	East Side Apartment	Brunnenstr. Süd	151	3	453
1211495325815600084	Numa | M Studio w/ Kitchenette near Alexanderplatz	Alexanderplatz	149	3	447
1026113473486876598	Central Location Mitte	Wedding Zentrum	149	3	447
9892924	4-Bedroom mixed, Ensuite , TV No. 11	Alexanderplatz	148	3	444
1379757744130388016	AR City Hotel Berlin-Family room	Osloer Straße	148	3	444
8564167	Spacious, bright room in the heart of Berlin	Alexanderplatz	147	3	441
51950246	Moabit - Ruhige Wohnung für große Gruppen	Moabit Ost	147	3	441
1300039926473509773	Suite Apartment	Alexanderplatz	146	3	438
895682168364278604	Frisch sanierter Designer Altbau	Brunnenstr. Süd	145	3	435
831127713135648319	Cosy apart in Moabit for 6, WiFi	Moabit Ost	145	3	435
1402013507683519132	Pretty and colorful apartment in Wedding.	Wedding Zentrum	144	3	432
1102079318028329110	Central City 1/3	Alexanderplatz	143	3	429
